dsArticulo,marca_linea,proveedor_ref
MEDALLON POLLO X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
MEDALLON POLLO X 2 U PALADINI,PALADINI REBOZADOS,FRIGORIFICO PALADINI SA
MEDALLON POLLO X 450 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
MEDALLON VERDURA X 300 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MENTA GRANIZADA,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
MILANESA DE SOJA CALABAZA X 340GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MILANESA DE SOJA TRADICIONAL X 340 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MILANESA SOJA C-CEBOLLA X 340 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MILANESA SOJA C-ESPINACA X 340 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MILANESA SOJA TRADICIONAL X 60 VEGETALEX,VEGETALEX FOOD SERVICE,PROTEINAS ARGENTINAS SA
MIXYBAR CARAMELO PLUS 1000 ML,FABBRI SECOS,FABBRI S.R.L
MIXYBAR VAINILLA X 1000 ML,FABBRI SECOS,FABBRI S.R.L
MORT BOLOGNA X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
"MORT CILINDRO X 4,5 KG PALADINI",PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
MORT MINI X 300 GRS CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
MORT MINI X 300 GRS PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
MORTADELA FET PALADINI X 200 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
NUGGETS 100% VEGETAL X 300 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
NUGGETS CROCANTE GRANGYS X 400 GRS,GRANGYS RETAIL,GONZALEZ PABLO
NUGGETS CROCANTE GRANGYS X 6 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
NUGGETS CROCANTE X 6 KG SADIA,SADIA FOOD SERVICE,QUICKFOOD SA
NUGGETS POLLO  X 400 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
